GF3 code,standard_name,Name,units,P06 unit name,P06 unit code,MEDS match,IML match,P01 code,P01: preferred name
ROLL,platform_roll_angle, Roll Angle  ,degrees,Degrees ,UAAA,Y,"N: specifies""ADCP""",ROLLGP01,Orientation (roll angle) of measurement device by unspecified GPS system
ROLLSDEV,,Roll Angle standard deviation,degrees,,,,,,
RPOT,,Redox Potential,mV,,,,,RPTWBZZ1,Redox potential in the water body by redox electrode and NO reference electrode correction
SDEV,,Standard deviation of preceding parameter,1,,,,,,
SECC,secchi_depth_of_sea_water,SECCHI disc depth,m,,,,,SECCSDNX,Visibility in the water body by Secchi disk
SEX,,Sex,1,,,,,,
SIGO,,Sigma-0  ,kg m-3,kilograms per cubic metre,UKMC,NA,Y,,
SIGP,sea_water_sigma_theta,Sigma-Theta  ,kg m-3,kilograms per cubic metre,UKMC,NA,Y,SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm
SIGT,sea_water_sigma_t,Sigma-T  ,kg m-3,kilograms per cubic metre,UKMC,NA,Y,SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm
SLCA,mole_concentration_of_silicate_in_sea_water,Silicate (SIO4-SI) Content  , mmol m-3,Millimoles per cubic metre,MMCM,Y,Y,SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase]
SPEH,specific_humidity,Specific Humidity  ,g kg-1,grams per kilogram,UGKG,Y,Y,CHUMSS01,Specific humidity of the atmosphere
SPVA,,Specific Volume Anomaly  ,m3 kg-1,??,??,NA,Y,,
SPVO,sea_water_volume,Specific Volume  ,m3 kg-1,??,??,Y,Y,,
SSAL,sea_water_salinity, Salinity  ,g kg-1,grams per kilogram,UGKG,"N: ""pre 1978""",Y,ODSDM021,Salinity of the water body
SPAR,,Surface Photosynthetic Active Radiation,ueinsteins/s/m**2,,,,,,
SPARSDEV,,Surface Photosynthetic Active Radiation standard deviation,ueinsteins/s/m**2,,,,,,
SPFR,,Fraction of Sample,1,,,,,,
STOR,,Description of sample storage between collection and analysis,1,,,,,,
STRA,,Stress Amplitude  ,Pa,pascals,PASX,NA,Y,,
STRD,, Stress Direction  ,degrees T,Degrees ,UAAA,NA,Y,,
STRU,,Stress (U Component)  , Pa,pascals,PASX,NA,Y,NWSTRRXX,Northward wind stress on the water body
STRV,,Stress (V Component)  ,Pa,pascals,PASX,NA,Y,EWSTRRXX,Eastward wind stress on the water body
SVEL,speed_of_sound_in_sea_water,Sound Velocity  ,m s-1,metres per second,UVAA,Y,Y,SVELXXXX,Sound velocity in the water body
SYTM,time,PIPE Time Format DD-MMM-YYYY HH:MM:SS.ss  ,s,,,NA,Y,,
TAXN,,Taxonomic Name,1,,,,,,
TEMP,sea_water_temperature, Sea Temperature  ,degree_C,Degrees Celsius,UPAA,N,"N ""WATER""",TEMPPR01,Temperature of the water body
TEXT,,Plain Language Text  ,1,,,Y,Y,,
